data,assunto,veiculo,link
2026-05-06,IF Baiano abre 60 vagas gratuitas para cursos de Instumento Musical e Agropecuária em Serrinha; saiba mais,G1,https://news.google.com/rss/articles/CBMilgFBVV95cUxPdEwzbkpQLU5vY05odlFycy1rbGhSeHFMZkYxaXZSa1pqLXdIblZlZGFYZ2FzeTR4VU5EeFR0c0ZrVF9CX2t2MGJUeW9OYzdaOG9xR2lNc0paWWZKMk5xcWplZWRWdjI3ZktMVkctRmZDdnN2Q3FOcFNTbXh4TjRxSDREUkJYeE1zQ2IzRnVjZXRqdms5dXfSAaQBQVVfeXFMUEZVT2ZSWnpaMy1NUmZmUk1RZ0liVEowd2p1c2xoZnFyYlMtS1JGak4wWDByZUN3UkxGRFpFSmRvQmpnb29oM3hqWU1Od2VqZmxHaHNBeGJ6bW1VdWVJUkZJblhFQ0Q3dk5VazhEVFd4MkUwUXVVSTM4U2gySWU3bGFSZkNfZzNkVGJrNlUzTzduRE01bksweEhBT0RJOUliVGp1RlU?oc=5
2026-05-06,Campus Serrinha abre inscrições para 60 vagas em cursos técnicos subsequentes,Bahia Na Política,https://news.google.com/rss/articles/CBMirgFBVV95cUxOLUdJQmdITHh5U0RMYzJtbjhFTTBTclktRmZxN0ZYQVFzNkZubEc1WWpWLV9PLTNGa1oxanFpRUJqVlV4NDdSd3pPVDV6blZPT25JN0JNZjBoX2cyel9zRVUtd0o2d3RzVUN2Ykg3d0NRcW9aS1NEdElfMl9UY0szdm9OQWJmbG1YQ3lGZE12V01MamR1VnZZUHdNcmZlSy1FczhrN0NGT2UzSkRiZGc?oc=5
2026-05-04,Ceplac e IF Baiano realizam seminário sobre fortalecimento da agricultura sustentável e mercado do cacau em Valença,Valença Agora -,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOWGZTOFNNX3AxcVVQRVFlcDJ5bHptOE9jNmpMWHJNX1BZYVJmcDdWekF0azBHZFN0aUFzS2RaVEl1aDF3eHRJSFUtTG8zMmdQNFhpS1g3TGtIdWhBcWhXdXIyVEUwUXRwdldlb2JsbTh3aXdubW02RFZ4eXZ5aGNFV0pZQ1RxdHByMWVwRGZUZGhad2IySlBIeW1NNXJyT3dmdHJZa29zdE1FVjMwM1o1Y3l4TkFYc2dCaTU5Qk9mUFk4d2VnREVmdzJPU3VfOWlLUTFKRDFLYWg?oc=5
2026-05-04,#Chapada: IF Baiano abre seleção para professores substitutos em Xique-Xique e Itaberaba; veja como se inscrever,Jornal da Chapada,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOVXJyTTBKQ1VGZWRRREFVTzlhVnRQZGVka1N3MzRFQWxuT29OSTgydlZtTXkxUWJ0SzJUS1E2Zzg4ZzFOYktBc0Z0RWd2Y3VsT0xuME96WlVRUkNzM1VKMGpheUtPUlIyQWdwdE5GV0VHSWtHZ2wyNFZJQXFRaUJGU1F4ZDFwQWhyZmdyUDJiMXhVMmNWY1Iwa0I4Vm5LaFlhNnplTWpDRm9hbnJtc2l2emlzdVJocDJJSWNhc0tReTZJYWJQUVpkeTBsMFFNb0hvMUo0dG1ITUF6VUJpeWFzSHFGcXhncW_SAewBQVVfeXFMTTBGQXRHSkU5Ni1oOFF3OWpXVzlaYmFUZmpBQUMzaV91VzY1ZFIzb2VxbTFuZVZTOVNOUGJmT2ZxaVJIOW1mWjJsSWRaaFR1OXRaYnJEM0d0SHFfaUpCZG01S2JRSG9TeGFwSVFiRXNLNklsSHhuN3hwdnZZdVY2dUtDZnZKeWQwa0JTVjR2SWpubWxyeEJDS0FpTkdQRTF4dTNPRDJ4WnpreGZ0bENvYUYzSmNoZ1o4MkhTVkgzTC1MU0t4MTQtMGgyeGFfTkstYlo5bkdkSDRxLTRpZi1FODdSTEpoVFd5aEYzYkw?oc=5
2026-05-04,"IF Baiano abre seleção para professor substituto em Xique-Xique, Itaberaba e Guanambi",Criativa On Line,https://news.google.com/rss/articles/CBMimAFBVV95cUxPdnNsd3QxVlVQWm4zSzQ3REcwb3dnOElOV0s3TmhFRHY5ck44NHk2QlBuOEJhRkJZLTl5ODZKUnRETUxwUkF3dl9Ja1A2MWhSVFZmX1JrcjlIdTlCRERwLV92eHZxTVV2NzVTWWpIYVZJVFZESEh3bW84MVpkYzNyTGJZby1EbzRyYlZmS3hKUGhCR0prSW5GNQ?oc=5
2026-05-03,IF Baiano abre vagas professor substituto Campus Guanambi,Sou Enfermagem,https://news.google.com/rss/articles/CBMiogFBVV95cUxNS3p1MVROMXBlei0xTFJsUVBfcV9selJ3dHpwOTRhV3lqSDg2LXdWUVU4c2pYUDZJTmF5ZVpNdFJHbl91MzJYbUhGM0YwcU9BbGJPS1dfbEQ1MlVYc1BuQnlkZlRHV3lFSUFEZmJUSk9hbjNZa1hzUTdWcnhIVnhIZFpZbWUySmpydlB2dzNsbkFsc3ZKNVJ4STAxalVROWh6RGc?oc=5
2026-04-28,IF Baiano Xique-Xique BA abre processo seletivo de professor substituto,Folha Dirigida,https://news.google.com/rss/articles/CBMipAFBVV95cUxNYndrYzllLVBLVUtMLXFQSldyekhlMHdOUzlvaG1GNVh4cUFXSWFULTdvTzJoUHdGeGZEMHloNm5yVzA3SnlWeTRpUGJFZncwTmV5aGx0VG9WemxpcEc0QkRhdDNhMHVXRVVCVUhBaERKX3NkVW9oZ1V1NEQ2LWR3aC1GdmJ5Unl1MVktc1oxeFBHVW9aMC1yOTFRQmFla3Y2Z3RqQw?oc=5
2026-04-28,IF Baiano de Guanambi participa de evento internacional no México e reforça atuação na pesquisa agrícola -,iGuanambi,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQYmFMSGc2ZGNIYV9qM29zMWw0OUpQTTlxbmdFSENwUFdxSWp0Yzk0M0RManVxSHRMY01jYThYbWtWLXNDOGY2NmUtTWlLZVJSMUtpdzU1anV6V2ZMTl9CcTRSbmtZaXpocmVOa3UwTWg0TEdjQkkxQXA5b0ExTU1YOVdvT2RCc2Q3cTBYekRyaGk3N29YZWVja2NVWE9qY0NXVTY1UEp5NEItd3RjalJUUUp1Q0lqZXIxZGhGb2xhUzg3VzdjR210SjRVdzRjcUNaUGxXUUU3WjlEZ2ZWM0pvZnBfTXRmWWVzWVHSAe8BQVVfeXFMTXlocDdkdUVmdUdGeTZDNnRzeHp6UUhNdmdQT0ZxOWpEcHpCN1NuMWRZbnJ5SlREb2xvSXJ1ODVxQ05CUXpqbGxOeFdlV0ZZbXBNVm1ibG5jc3l3NFhWM3RkZEQ4Sy1TSlV1cVJ6dkI5NVNiNmxtRWhnUWNYQldZQ1hHb0R3MlkzRFItU2hqNXVSblVkcTJYTGZxSzQtWlFjQjhnRDM2TG1tbW9MSkd5RFRFbUotVUxhaURTc3BTYjRTQW9OTUp5R0RvMjBnY0VqM21TMHRwd0lvaUxYV1NvNVFvbzFjVE9NVVkxRUQ3UXM?oc=5
2026-04-28,"IF Baiano abriu processos seletivos para professor em Guanambi, Itaberaba e Xique-Xique",Agência Sertão,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQbERLLU1aYWR0MzRqYk9iZkc2ZmFub1Z6cEdjQUUzejBKc2pZSjI5aEhOMFUyM1VoRF9wNnpqZWhFa2JZdGRYc3QtUnZLWGpZbHhYNEFBTkt2a2dscnBscjdTTV9nWm1WamloeWxxbVlKdXJlMC1oSUNKTHRHaWFfTmI1T1Z1WlhzOHB1ZkROZXVMMWdyWVBzd0xQUFdlU1dNa3NqOUhQbi01TmUyZzlUc0dwWHUxaFBqWnBTQ3Q0WThWUdIBwgFBVV95cUxQbERLLU1aYWR0MzRqYk9iZkc2ZmFub1Z6cEdjQUUzejBKc2pZSjI5aEhOMFUyM1VoRF9wNnpqZWhFa2JZdGRYc3QtUnZLWGpZbHhYNEFBTkt2a2dscnBscjdTTV9nWm1WamloeWxxbVlKdXJlMC1oSUNKTHRHaWFfTmI1T1Z1WlhzOHB1ZkROZXVMMWdyWVBzd0xQUFdlU1dNa3NqOUhQbi01TmUyZzlUc0dwWHUxaFBqWnBTQ3Q0WThWUQ?oc=5
2026-04-28,IF Baiano abre seleção para Professor Substituto de Sociologia em Xique-Xique,PCI Concursos,https://news.google.com/rss/articles/CBMiugFBVV95cUxPOXlkcDdqWFIxUnZialNLY2FOWVduR2dPdU9sZW44cldocVdtUE52Nk9lZ0RUdjZRZnNVRF93UWxYZ1ZES01nTWlPY2U4dk5ZTUg5Y3JFMDVEdkZnU3ZrS085V1RMTEFwVzZWTE5rNy1OWDVfUmJaV0EwbHdrNHBfRENHaHpJMkNzRUdnZzlYcHY4dTVYeWhkOTJQdGs3ZGFCb3dKWTE2S25iTXdGd2VtbVpHeGZJazBIOGc?oc=5
